motion,timestamp
1,2026-05-19T16:02:59.446158
1,2026-05-19T16:03:04.458674
1,2026-05-19T16:03:09.481358
0,2026-05-19T16:03:14.495710
1,2026-05-19T16:03:19.505685
1,2026-05-19T16:03:24.514303
1,2026-05-19T16:03:29.523230
0,2026-05-19T16:03:34.532983
1,2026-05-19T16:03:39.541890
1,2026-05-19T16:03:44.555249
1,2026-05-19T16:03:49.577553
1,2026-05-19T16:03:54.586310
1,2026-05-19T16:03:59.601890
0,2026-05-19T16:04:04.612651
0,2026-05-19T16:04:09.635307
1,2026-05-19T16:04:14.644259
1,2026-05-19T16:04:19.652699
1,2026-05-19T16:04:24.662435
1,2026-05-19T16:04:29.671829
1,2026-05-19T16:04:34.679013
1,2026-05-19T16:04:39.687226
1,2026-05-19T16:04:44.695358
0,2026-05-19T16:04:49.704198
0,2026-05-19T16:04:54.713871
1,2026-05-19T16:04:59.727723
1,2026-05-19T16:05:04.738011
0,2026-05-19T16:05:09.748881
0,2026-05-19T16:05:14.756977
1,2026-05-19T16:05:19.765390
1,2026-05-19T16:05:24.778512
1,2026-05-19T16:05:29.787814
1,2026-05-19T16:05:34.795051
1,2026-05-19T16:05:39.803756
1,2026-05-19T16:05:44.812159
1,2026-05-19T16:05:49.820295
1,2026-05-19T16:05:54.828132
1,2026-05-19T16:05:59.840091
1,2026-05-19T16:06:04.847573
1,2026-05-19T16:06:09.855500
1,2026-05-19T16:06:14.864409
1,2026-05-19T16:06:19.872893
1,2026-05-19T16:06:24.885128
1,2026-05-19T16:06:29.893225
1,2026-05-19T16:06:34.899972
1,2026-05-19T16:06:39.909210
1,2026-05-19T16:06:44.917878
1,2026-05-19T16:06:49.930214
1,2026-05-19T16:06:54.939059
1,2026-05-19T16:06:59.950991
1,2026-05-19T16:07:04.961517
1,2026-05-19T16:07:09.970117
1,2026-05-19T16:07:14.980310
1,2026-05-19T16:07:19.988966
1,2026-05-19T16:07:24.999664
0,2026-05-19T16:07:30.010399
1,2026-05-19T16:07:35.016965
1,2026-05-19T16:07:40.025584
0,2026-05-19T16:07:45.033749
0,2026-05-19T16:07:50.042466
1,2026-05-19T16:07:55.050618
1,2026-05-19T16:08:00.062856
0,2026-05-19T16:08:05.070658
1,2026-05-19T16:08:10.079228
1,2026-05-19T16:08:15.087784
0,2026-05-19T16:08:20.096601
1,2026-05-19T16:08:25.105019
1,2026-05-19T16:08:30.113620
1,2026-05-19T16:08:35.120764
1,2026-05-19T16:08:40.129314
1,2026-05-19T16:08:45.137666
1,2026-05-19T16:08:50.146197
1,2026-05-19T16:08:55.154678
1,2026-05-19T16:09:00.166255
1,2026-05-19T16:09:05.173680
1,2026-05-19T16:09:10.182714
1,2026-05-19T16:09:15.191589
1,2026-05-19T16:09:20.200425
1,2026-05-19T16:09:25.209477
0,2026-05-19T16:09:30.218079
1,2026-05-19T16:09:35.225515
1,2026-05-19T16:09:40.233943
0,2026-05-19T16:09:45.242195
1,2026-05-19T16:09:50.250584
1,2026-05-19T16:09:55.258545
1,2026-05-19T16:10:00.270158
1,2026-05-19T16:10:05.277333
0,2026-05-19T16:10:10.285600
1,2026-05-19T16:10:15.294060
0,2026-05-19T16:10:20.302410
0,2026-05-19T16:10:25.310836
0,2026-05-19T16:10:30.319357
1,2026-05-19T16:10:35.326734
0,2026-05-19T16:10:40.335433
0,2026-05-19T16:10:45.343995
1,2026-05-19T16:10:50.352849
1,2026-05-19T16:10:55.361200
1,2026-05-19T16:11:00.372309
1,2026-05-19T16:11:05.379603
1,2026-05-19T16:11:10.388214
1,2026-05-19T16:11:15.396732
1,2026-05-19T16:11:20.404816
1,2026-05-19T16:11:25.413138
0,2026-05-19T16:11:30.421523
0,2026-05-19T16:11:35.429789
1,2026-05-19T16:11:40.438268
0,2026-05-19T16:11:45.446499
1,2026-05-19T16:11:50.454732
1,2026-05-19T16:11:55.463075
0,2026-05-19T16:12:00.474202
0,2026-05-19T16:12:05.480418
1,2026-05-19T16:12:10.488947
1,2026-05-19T16:12:15.497869
1,2026-05-19T16:12:20.506689
0,2026-05-19T16:12:25.515941
